Designator,Mid X,Mid Y,Rotation,Layer
A1,160.0,-130.5,180.0,top
C17,183.5,-138.5,270.0,top
C18,182.5,-138.5,270.0,top
C19,181.5,-138.5,270.0,top
C20,180.5,-138.5,270.0,top
C21,179.5,-138.5,270.0,top
C22,178.5,-138.5,270.0,top
C23,177.5,-138.5,270.0,top
C24,176.5,-138.5,270.0,top
C25,187.5,-161.0,90.0,top
C26,142.5,-145.25,270.0,top
C27,141.25,-145.25,270.0,top
C28,107.8,-148.0,180.0,top
C29,108.2,-147.0,180.0,top
C30,170.6,-160.05,0.0,top
C31,131.8,-158.2,270.0,top
C32,90.5,-154.15,90.0,top
C49,132.0,-138.52,270.0,top
C50,133.0,-138.52,270.0,top
C51,95.75,-142.78,180.0,top
C52,95.75,-141.75,180.0,top
C53,95.75,-144.75,180.0,top
C54,95.75,-143.75,180.0,top
C55,97.75,-137.0,90.0,top
C56,96.75,-137.0,90.0,top
C57,116.12,-121.38,270.0,top
C58,115.12,-121.38,270.0,top
C59,114.15,-121.38,270.0,top
C60,113.18,-121.38,270.0,top
C64,98.3,-80.4,270.0,top
C65,97.25,-101.5,90.0,top
C66,87.2,-55.7,90.0,top
C67,96.8,-80.4,270.0,top
C68,98.75,-101.5,90.0,top
C70,88.15,-98.15,180.0,top
C71,88.78,-78.6,180.0,top
C74,88.0,-106.75,0.0,top
C75,88.915,-88.8,0.0,top
C76,88.0,-111.57,0.0,top
C77,88.9,-90.4,0.0,top
C78,88.55,-105.1,180.0,top
C79,88.9,-85.6,180.0,top
C80,87.985,-108.37,0.0,top
C81,88.9,-87.2,0.0,top
C82,87.985,-109.97,0.0,top
C83,88.9,-92.0,0.0,top
C86,157.05,-147.25,180.0,top
D1,177.8,-152.265,270.0,top
D15,180.5,-64.0,90.0,top
D16,185.05,-64.0,90.0,top
D17,189.6,-64.0,90.0,top
D2,185.215,-159.59,0.0,top
D21,90.0,-57.9,0.0,top
D22,92.16,-74.7,0.0,top
D24,166.535,-139.12,0.0,top
D3,177.8,-154.785,270.0,top
D4,181.1,-152.35,90.0,top
D5,108.6,-150.4,180.0,top
D6,106.6,-149.2,0.0,top
D7,145.4,-137.0,90.0,top
D8,144.4,-137.0,90.0,top
D9,118.8,-122.2,0.0,top
F1,188.75,-160.5,90.0,top
F2,170.7,-162.65,180.0,top
F4,133.91,-158.185,90.0,top
F5,93.25,-154.1875,270.0,top
F78,157.25,-144.95,0.0,top
FID1_2,129.5,-45.25,0.0,top
FID1,185.75,-44.0,0.0,top
FID2,120.75,-158.0,0.0,top
H78,109.0,-45.0,0.0,top
H79,191.8,-73.5,0.0,top
H80,128.2,-73.5,0.0,top
J1,132.46,-94.8,90.0,top
J10,175.005,-93.51,270.0,top
J11,175.185,-80.0,270.0,top
J12,164.215,-80.0,270.0,top
J13,164.215,-84.65,270.0,top
J14,175.185,-84.65,270.0,top
J15,109.0,-128.775,180.0,top
J16,90.125,-127.25,270.0,top
J3,192.53,-149.5,0.0,top
J7,164.035,-88.86,270.0,top
J79,143.0,-158.7,0.0,top
J8,175.005,-88.86,270.0,top
J80,103.0,-158.7,0.0,top
J81,163.0,-161.655,0.0,top
J82,152.75,-141.5,270.0,top
J83,90.995,-55.5,90.0,top
J84,152.8,-96.87,0.0,top
J9,164.035,-93.51,270.0,top
JP1,90.015,-63.25,90.0,top
L1,93.0,-100.6,270.0,top
L2,93.5,-81.0,270.0,top
Q1,181.95,-158.6,180.0,top
Q2,175.1125,-152.8,180.0,top
Q3,175.15,-156.2875,180.0,top
Q4,169.17,-147.15,180.0,top
Q8,88.3625,-74.65,180.0,top
R1,153.4,-136.8,180.0,top
R10,178.0,-144.25,270.0,top
R11,185.75,-157.99,270.0,top
R13,179.25,-144.049,270.0,top
R14,180.991,-144.01,270.0,top
R15,179.1,-152.7,90.0,top
R16,182.25,-144.0,270.0,top
R17,183.75,-144.0,270.0,top
R18,179.1,-154.8,270.0,top
R19,168.75,-144.68,180.0,top
R2,159.6,-136.89,270.0,top
R27,106.0,-120.5,0.0,top
R29,102.11,-122.4,0.0,top
R3,172.2,-157.0,270.0,top
R30,118.4,-120.8,180.0,top
R32,99.75,-119.5,0.0,top
R33,102.26,-121.25,0.0,top
R34,93.97,-141.31,270.0,top
R35,92.93,-141.3,90.0,top
R4,179.25,-158.89,270.0,top
R46,90.015,-66.26,270.0,top
R47,88.1225,-72.2,180.0,top
R48,92.0,-57.9,0.0,top
R49,85.6225,-74.7,90.0,top
R5,172.2,-154.45,90.0,top
R51,92.015,-66.75,180.0,top
R52,92.55,-76.4,180.0,top
R53,166.25,-137.25,180.0,top
R57,88.5,-104.05,0.0,top
R58,86.8,-104.75,90.0,top
R59,88.9,-84.4,0.0,top
R6,184.75,-157.99,270.0,top
R60,85.9,-81.51,270.0,top
R7,173.25,-144.01,270.0,top
R76,175.2,-137.2,270.0,top
R77,174.2,-137.2,270.0,top
R78,147.5,-100.5,90.0,top
R79,145.75,-100.5,90.0,top
R8,175.0,-144.0,270.0,top
R80,161.2,-157.2,0.0,top
R81,156.45,-162.5,270.0,top
R9,176.25,-144.25,270.0,top
U1,181.5,-141.3875,270.0,top
U10,177.325,-97.2125,270.0,top
U11,166.32,-97.3625,270.0,top
U12,173.225,-97.1875,270.0,top
U15,88.085,-100.635,180.0,top
U16,88.785,-80.93,180.0,top
U2,175.5,-141.3875,270.0,top
U3,143.75,-148.1125,270.0,top
U4,163.75,-155.6375,90.0,top
U5,103.4,-150.7875,270.0,top
U78,153.2,-144.3875,270.0,top
U9,161.325,-97.4125,270.0,top
